nro,Jerga,tipo,descripción corta,Descripción,fuente
848,guasamandrapa,Jerga,pene,Pene,https://jergozo.com/diccionario-peruano
849,guasca,Jerga,borracho,Borrachera.,https://jergozo.com/diccionario-peruano
850,guatanabe,Jerga,gordo,"Gordo , guaton, pipon, barrigón",https://jergozo.com/diccionario-peruano
851,guatón,Jerga,gordo,"Barrigudo, de vientre abultado.",https://jergozo.com/diccionario-peruano
852,guayacol,Jerga,borracho,Borracho,https://jergozo.com/diccionario-peruano
853,güeva,Jerga,no tener ganas,"1.- Sustantivo, siempre va acompañado por el artículo LA y se utiliza como exclamación en respuesta cuando no se quiere hacer algo, o cuando se cree firmemente que todo saldrá bien. 2.- Cuando no se cree algo que se dice. 3.-Tambien en plural, cuando alguien pierde tiempo o hace algo sin beneficio",https://jergozo.com/diccionario-peruano
854,guita,Jerga,dinero,(F) dinero,https://jergozo.com/diccionario-peruano
855,habiloso,Jerga,inteligente,Inteligente. Habilidoso.,https://jergozo.com/diccionario-peruano
856,habla!,Jerga,hola,Expresión de saludo.,https://jergozo.com/diccionario-peruano
857,habla barrio,expresión,hola,Forma de saludo entre vecinos de barrio populoso,https://jergozo.com/diccionario-peruano
858,hablar con el presidente,expresión,defecar,Defecar,https://jergozo.com/diccionario-peruano
859,hablar paja,expresión,genial,"En Perú, paja significa ""genial"". En este caso, ""paja"" funciona como adjetivo, por lo que significa ""hablar de una manera genial"". Claro, cada persona tiene una perspectiva diferente de lo qué es genial, eso ya es otro tema.",https://jergozo.com/diccionario-peruano
860,hablar por la herida,expresión,Hablar con rencor,Hablar con rencor,https://jergozo.com/diccionario-peruano
