nro,Jerga,tipo,descripción corta,Descripción,fuente
1767,ticla,Jerga,Bicicleta,Bicicleta,https://jergozo.com/diccionario-peruano
1768,tigre,Jerga,El mejor,El mejor,https://jergozo.com/diccionario-peruano
1769,tigrillo,Jerga,aprendiz,aprendiz,https://jergozo.com/diccionario-peruano
1770,tikete,Jerga,ticket,"Ticket , boleto, entrada",https://jergozo.com/diccionario-peruano
1771,tilico,Jerga,Flaco,Flaco,https://jergozo.com/diccionario-peruano
1772,timbear,Jerga,jugar al azar,"Jugar en un juego de azar, generalmente con dinero, cualquiera que sea el juego; básicamente, apostar. Voz del lunfardo.",https://jergozo.com/diccionario-peruano
1773,timbera,Jerga,que le gusta apostar,"Jugadora de juegos de azar consuetudinario}, o sea, que acostumbra timbear, es decir, jugar a juegos de azar con dinero. Hoy esta voz se ha ablandado e incluye también a los simples aficionados a los juegos de azar. Voz del lunfardo.",https://jergozo.com/diccionario-peruano
1774,timbero,Jerga,que le gusta apostar,"Jugadora de juegos de azar consuetudinario, o sea, que acostumbra timbear, es decir, jugar a juegos de azar con dinero. Hoy esta voz se ha ablandado e incluye también a los simples aficionados a los juegos de azar. Voz del lunfardo.",https://jergozo.com/diccionario-peruano
1775,timbuche,Jerga,sopa de pescado,"Caldo de pescado, en la selva de Perú, añadido sacha culandro o culantro ancho y a veces con huevo batido",https://jergozo.com/diccionario-peruano
1776,timonear,Jerga,Conducir un automóvil.,Conducir un automóvil.,https://jergozo.com/diccionario-peruano
1777,tinca,Jerga,creer,Dicese del presentimiento o barrunto.,https://jergozo.com/diccionario-peruano
1778,tinterillo,Jerga,abogado,"Abogado , licenciado o doctor en leyes",https://jergozo.com/diccionario-peruano
1779,tío,Jerga,anciano,Adj. (Perú) usado para referirse a una persona de avanzada edad...,https://jergozo.com/diccionario-peruano
1780,tique,Jerga,boleto,"Billete, boleto, entrada.",https://jergozo.com/diccionario-peruano
1781,tira,Jerga,policia,"Policía, especialmente el que se dedica a la investigación de conductas delictivas y criminales.",https://jergozo.com/diccionario-peruano
1782,tiradedo,Jerga,delator,"Delator , soplon, persona chismosa que cuenta lo que sabe de uno o de algo.",https://jergozo.com/diccionario-peruano
1783,tiraje,Jerga,numero de ejemplares,"Tirada , numero de ejemplares editados",https://jergozo.com/diccionario-peruano
1784,tirando cintura,expresión,cansado,Peruanismo. Se refiere a que los deseos o expectativas de quien se habla no han sido satisfechos o están demorando en cumplirse.,https://jergozo.com/diccionario-peruano
1785,tirar,Jerga,tener sexo,Tener relaciones sexuales,https://jergozo.com/diccionario-peruano
1786,tirar arroz,Jerga,indiferencia,"No hacer caso, no corresponder o mostrar indiferencia.",https://jergozo.com/diccionario-peruano
1787,tirar caña,Jerga,conudir con destreza,Conducir con destreza,https://jergozo.com/diccionario-peruano
1788,tirar jato,Jerga,dormir,Dormir,https://jergozo.com/diccionario-peruano
1789,tirar la toalla,Jerga,Rendirse,Rendirse,https://jergozo.com/diccionario-peruano
1790,tirar lente,Jerga,mirar,"Observar , cuidar, mirar, catear.",https://jergozo.com/diccionario-peruano
1791,tirar pestaña,Jerga,Dormir,Dormir,https://jergozo.com/diccionario-peruano
1792,tirar richi,Jerga,Comer,Comer,https://jergozo.com/diccionario-peruano
1793,tirar un nicolas cage,expresión,defecar,Ir al baño a cagar,https://jergozo.com/diccionario-peruano
1794,tirarse un caldo,Jerga,Flatulencia,Flatulencia,https://jergozo.com/diccionario-peruano
1795,tiza,Jerga,elegante,"Elegante, que se ve bien",https://jergozo.com/diccionario-peruano
1796,tocala,Jerga,Pasala,Pasala,https://jergozo.com/diccionario-peruano
1797,tochimbo,Jerga,Horno de fundición.,Horno de fundición.,https://jergozo.com/diccionario-peruano
1798,toldo,Jerga,carpa,carpa,https://jergozo.com/diccionario-peruano
1799,tomberia,Jerga,policias,policias,https://jergozo.com/diccionario-peruano
1800,tonazo,Jerga,fiesta,Gran fiesta,https://jergozo.com/diccionario-peruano
1801,tondero,Jerga,Baile popular.,Baile popular.,https://jergozo.com/diccionario-peruano
1802,tongo,Jerga,gordo,"Tongo significa gordo, gritón, pacharaco y ridículo pero a la vez carismático.",https://jergozo.com/diccionario-peruano
1803,tónico,Jerga,fiesta,Fiesta,https://jergozo.com/diccionario-peruano
1804,toque,Jerga,momento,"Momento, instante",https://jergozo.com/diccionario-peruano
1805,toquear,Jerga,manosear,"Manipular a personas estimulandolos a acciones impulsivas mediante prococar emociones súbitas como enojo, indignacion, miedo, tristeza, culpa. etc.",https://jergozo.com/diccionario-peruano
1806,torniquete,Jerga,pene,"Pija, pene.",https://jergozo.com/diccionario-peruano
1807,torreja,Jerga,malo,"En el sentido no gastronómico: malo, pobre, no a la altura de las circunstancias. Pertenece al habla popular no culta.",https://jergozo.com/diccionario-peruano
1808,totuma,Jerga,Cabeza,Cabeza.,https://jergozo.com/diccionario-peruano
1809,traca,Jerga,homosexual,Homosexual muy femenino,https://jergozo.com/diccionario-peruano
1810,trafa,Jerga,Trampa,Trampa.,https://jergozo.com/diccionario-peruano
1811,trambollo,Jerga,homosexual,"Afeminado , homosexual, etc",https://jergozo.com/diccionario-peruano
1812,tramposo,Jerga,infiel,(Adj) Infiel como forma de vida,https://jergozo.com/diccionario-peruano
1813,transar,Jerga,acordar,"HACER UN TRATO, o ACUERDO",https://jergozo.com/diccionario-peruano
1814,transformer,Jerga,homosexual,"Se le dice transformer a los travestis, generalmente a los que se prostituyen.",https://jergozo.com/diccionario-peruano
1815,trapecio,Jerga,secador,"(M) trapo, secador",https://jergozo.com/diccionario-peruano
1816,traquetero,Jerga,traficante de droga,"En Peru, la palabra TRAQUETERO significa aquella persona que transporta las drogas o el dinero procedente de ellas en una moto lineal, se caracteriza por tener motos tipo enduro, todoterreno, el individuo es experto conocedor de rutas y manejo de la maquina, tambien va enchalecado con antibalas y fuertemente armado, trabaja solo para el narcotrafico, sea cual sea su bandera o grupo.",https://jergozo.com/diccionario-peruano
1817,trica,Jerga,tercera vez,Llevar por tercera vez un curso,https://jergozo.com/diccionario-peruano
1818,trici,Jerga,tricilo,"Triciclo , triciclo de pasajeros, triciclo de carga",https://jergozo.com/diccionario-peruano
1819,trierda,Jerga,mierda,Mandar tres veces a la mierda,https://jergozo.com/diccionario-peruano
1820,trincar,Jerga,tener sexo,"Cojer,tener sexo",https://jergozo.com/diccionario-peruano
1821,trinche,Jerga,cabello grueso,"Cabellos gruesos, parados, difíciles de peinar, persona sin refinamiento, aunque en este caso se prefiere: Trinchudo.",https://jergozo.com/diccionario-peruano
1822,trinchudo,Jerga,cabello grueso,"Pelo-pincho (esp) , pelo tipo erizo",https://jergozo.com/diccionario-peruano
1823,troca,Jerga,prostibulo,"(M) Prostibulo, burdel",https://jergozo.com/diccionario-peruano
1824,trola,Jerga,pene,pene,https://jergozo.com/diccionario-peruano
1825,trolo,Jerga,homosexual,homosexual,https://jergozo.com/diccionario-peruano
1826,trome,Jerga,hábil,"(Adj/sust) hábil, diestro, que destaca",https://jergozo.com/diccionario-peruano
1827,tronado,Jerga,loco,Loco o loca,https://jergozo.com/diccionario-peruano
1828,troncha,Jerga,pedazo,Lonja; trozo; pedazo.,https://jergozo.com/diccionario-peruano
1829,trucha,Jerga,Hábil,Hábil,https://jergozo.com/diccionario-peruano
1830,tu firme,Jerga,pareja sentimental oficial,Esposo o enamorado,https://jergozo.com/diccionario-peruano
1831,tu may,Jerga,tu madre,"En Perú, sigifica: ""tu madre"", ""tu mamá"". Mayormente sólo decimos ""May"", cuando nos agreden verbalmente o insultan. Es una forma de regresar el agravio. No es ""lisura"", o mala palabra en éstos días.",https://jergozo.com/diccionario-peruano
1832,tu ye,Jerga,tu mamá,Se utiliza para decir tu vieja ... tu ye o tu ieja deriba de la palabra vie = ye algo asi =D,https://jergozo.com/diccionario-peruano
1833,tubazo,Jerga,nalgas,Trasero grande,https://jergozo.com/diccionario-peruano
1834,tuco,Jerga,Especie de búho.,Especie de búho.,https://jergozo.com/diccionario-peruano
1835,tucutin,Jerga,tener sexo,Tener relaciones sexuales,https://jergozo.com/diccionario-peruano
1836,tunchi,Jerga,fantasma,Alma que pena y anda por el mundo silvando. Esta palabra se da a menudo en la selva del perú.,https://jergozo.com/diccionario-peruano
1837,turra,Jerga,mal aliento,Turra es el mal aliento que tiene una persona luego de haber bebido licor.,https://jergozo.com/diccionario-peruano
1838,turro,Jerga,mal aliento,Aliento con olor a alcohol.,https://jergozo.com/diccionario-peruano
1839,uchú,Jerga,picante,"Ají, pimiento picante.",https://jergozo.com/diccionario-peruano
1840,ulluco,Jerga,olluco,"Melloco, olluco (planta).",https://jergozo.com/diccionario-peruano
1841,ulpo,Jerga,harina tostada,Gachas de harina tostada y azúcar.,https://jergozo.com/diccionario-peruano
1842,ultimatum,Jerga,ultimo aviso,"Resolucion definitiva , final de un proceso .",https://jergozo.com/diccionario-peruano
1843,un culo,Jerga,mucho,Mucho,https://jergozo.com/diccionario-peruano
1844,un toque,Jerga,un momento,"Un ratito , un momento",https://jergozo.com/diccionario-peruano
1845,una jalada de pelos,expresión,alboroto,Aborto voluntario,https://jergozo.com/diccionario-peruano
1846,unau,Jerga,Perezoso,Perezoso.,https://jergozo.com/diccionario-peruano
1847,uñalarga,Jerga,ladrón,"Ladrón, carterista.",https://jergozo.com/diccionario-peruano
1848,upa,Jerga,idiota,"Opa, idiota.",https://jergozo.com/diccionario-peruano
1849,uro,Jerga,pueblo indigena,Pueblo indio del lago Titicaca.,https://jergozo.com/diccionario-peruano
1850,urraca,Jerga,Chismosa,Chismosa,https://jergozo.com/diccionario-peruano
1851,urucumayo,Jerga,roedor,Carpincho (roedor).,https://jergozo.com/diccionario-peruano
1852,uta,Jerga,úlceras faciales,Enfermedad que produce úlceras faciales.,https://jergozo.com/diccionario-peruano
1853,utoso,Jerga,El que padece uta,El que padece uta.,https://jergozo.com/diccionario-peruano
1854,uwu,Jerga,tierno,"Quiere decir algo lindo,tierno.",https://jergozo.com/diccionario-peruano
1855,uy chucha¡,Jerga,wow,wow,https://jergozo.com/diccionario-peruano
1856,vacán,Jerga,muy bueno,"Dícese de un tipo bueno, muy simpático y digno de admiración.",https://jergozo.com/diccionario-peruano
1857,vacilar,Jerga,bromear,"Divertirse, bromear. También tener un romance corto.",https://jergozo.com/diccionario-peruano
1858,vago,Jerga,que no trabaja,"Mokoton, una parte de persona que juega y se rasca las bolas todo el dia no trabaja no estudia no hace esfuerzo fisico no hace nada",https://jergozo.com/diccionario-peruano
1859,vagoneta,Jerga,que no trabaja,"Flojo , vago, bueno para nada, mantenido",https://jergozo.com/diccionario-peruano
1860,vale,Jerga,Apuesta.,Apuesta.,https://jergozo.com/diccionario-peruano
1861,valer un perú,expresión,Valer mucho.,Valer mucho.,https://jergozo.com/diccionario-peruano
1862,valeria,Jerga,valerosa,"Valeria es la variante femenina del nombre Valerio. Procede del término latino valere, que quiere decir ser valeroso, fuerte, sano. Por tanto, el significado del nombre Valeria es “La que es valerosa y sana”.",https://jergozo.com/diccionario-peruano
1863,vaquillona,Jerga,vaca,Vaca de dos años que aún no ha sido servida.,https://jergozo.com/diccionario-peruano
1864,vara,Jerga,influencia,"Influencia, valerse del poder para conseguir un objetivo",https://jergozo.com/diccionario-peruano
1865,velador,Jerga,mesa,Mesa o mesita de noche.,https://jergozo.com/diccionario-peruano
1866,venduta,Jerga,subasta,"Subasta, almoneda.",https://jergozo.com/diccionario-peruano
1867,veneco,Jerga,venezolano,En la republica de arequipa es un diminutivo de la palabra venezolano o también es un saludo cordial,https://jergozo.com/diccionario-peruano
1868,venirse,Jerga,eyacular,Tener un orgasmo,https://jergozo.com/diccionario-peruano
1869,venirse el gato,expresión,Vomitar,Vomitar,https://jergozo.com/diccionario-peruano
1870,venticuatrino,Jerga,Perdulario,"Perdulario, el que pierde cosas frecuentemente.",https://jergozo.com/diccionario-peruano
1871,verde,Jerga,el campo,"El campo, la campiña.",https://jergozo.com/diccionario-peruano
1872,verga,Jerga,pene,Expresión vulgar para referirse al órgano viril masculino.,https://jergozo.com/diccionario-peruano
1873,vergatario,Jerga,pene,Dícese de aquel varon que posee una superlativa capacidad sexual o en su defecto aquella persona provista de un enorme miembro viril.,https://jergozo.com/diccionario-peruano
1874,verraco,Jerga,amargo,"Amargo , intransigente, gruñon, irascible, etc, feo, amargo",https://jergozo.com/diccionario-peruano
1875,vieja,Jerga,Madre,Madre,https://jergozo.com/diccionario-peruano
1876,viejo,Jerga,Padre,1. Adj. Para referirse a algo en desuso.,https://jergozo.com/diccionario-peruano
1877,villegas,Jerga,dinero,"Billetes, dinero",https://jergozo.com/diccionario-peruano
1878,vincha,Jerga,sujetador de cabello,"Bincha, cinta o banda para sujetar el pelo.",https://jergozo.com/diccionario-peruano
1879,vinero,Jerga,comerciante de vinos,Vinícola. Comerciante de vinos.,https://jergozo.com/diccionario-peruano
1880,violín,Jerga,Violador,Violador,https://jergozo.com/diccionario-peruano
1881,viracocha,Jerga,dios inca,Dios inca de la creación. Nombre que los indios daban a los conquistadores españoles.,https://jergozo.com/diccionario-peruano
1882,viravira,Jerga,un tipo de planta,"Planta compuesta cubierta de pelusa blanca, cuya infusión se emplea como pectoral (Gnaphallium viravira).",https://jergozo.com/diccionario-peruano
1883,viringo,Jerga,una raza de perro,"Perro sin pelo , perro chino",https://jergozo.com/diccionario-peruano
1884,virolo,Jerga,Bizco,Bizco,https://jergozo.com/diccionario-peruano
1885,virusa,Jerga,pene,Pene de gran tamaño,https://jergozo.com/diccionario-peruano
1886,visitadora,Jerga,prostituta,Prostituta que presta sus servicios a domicilio 'visitando' a sus clientes,https://jergozo.com/diccionario-peruano
1887,visnaca,Jerga,pene,"Pija, pene.",https://jergozo.com/diccionario-peruano
1888,vivaces,Jerga,hábiles,hábiles,https://jergozo.com/diccionario-peruano
1889,vivo,Jerga,hábile,"Listo , astuto, inteligente en las calles",https://jergozo.com/diccionario-peruano
1890,volada,Jerga,rumor,Rumor.,https://jergozo.com/diccionario-peruano
1891,volar cometa,Jerga,Masturbarse,Masturbarse,https://jergozo.com/diccionario-peruano
1892,volarse,Jerga,Fumar marihuana,Fumar marihuana,https://jergozo.com/diccionario-peruano
1893,votarse,Jerga,ser vanidoso,"(Se vota) creido, vanidoso",https://jergozo.com/diccionario-peruano
1894,vuelta,Jerga,Vez.,Vez.,https://jergozo.com/diccionario-peruano
1895,wacha,Jerga,estomago,"Barriga, estómago",https://jergozo.com/diccionario-peruano
1896,wachiman,Jerga,Vigilante,Vigilante,https://jergozo.com/diccionario-peruano
1897,wantán,Jerga,comida china,"Comida china, masa muy fina y rellena generalmente de carne, pollo o cerdo) y freída dando la apariencia de una galleta.",https://jergozo.com/diccionario-peruano
1898,warike,Jerga,restaurante,restaurante,https://jergozo.com/diccionario-peruano
1899,wasamandrapa,Jerga,pene,Pene,https://jergozo.com/diccionario-peruano
1900,webbon,Jerga,tonto,tonto,https://jergozo.com/diccionario-peruano
1901,webin,Jerga,perder el tiempo,"Perder el tiempo , hacer hora",https://jergozo.com/diccionario-peruano
1902,webing,Jerga,Ocio,Ocio,https://jergozo.com/diccionario-peruano
1903,webonauta,Jerga,tonto,Webon o huevón de modo creativo,https://jergozo.com/diccionario-peruano
1904,wiis,Jerga,bedida con licor,Es una bebida que contiene pisco(peruano)+ gaseosa,https://jergozo.com/diccionario-peruano
1905,wiisconsin,Jerga,bedida con licor,Es una bebida que contiene pisco(peruano)+ gaseosa,https://jergozo.com/diccionario-peruano
1906,willa,Jerga,bedida con licor,Trago fuerte peruano,https://jergozo.com/diccionario-peruano
1907,willy,Jerga,introvertido,Persona que no sale de su casa.,https://jergozo.com/diccionario-peruano
1908,wipi,Jerga,Látigo,Látigo,https://jergozo.com/diccionario-peruano
1909,witriar,Jerga,vomitar,Estado deuna persona de estar en estado de nausias y querer bomitar lo que ha comido o ha tomado recientemente,https://jergozo.com/diccionario-peruano
1910,won,Jerga,tonto,tonto,https://jergozo.com/diccionario-peruano
1911,wuafloflo,Jerga,persona fea,Una persona fea horrible,https://jergozo.com/diccionario-peruano
1912,xanadú,Jerga,persona tranquila,"Sano, zanahoria, tranquilo.",https://jergozo.com/diccionario-peruano
1913,xvre,Jerga,muy bueno,"Es cuando algo es muy bueno, muy bacan",https://jergozo.com/diccionario-peruano
1914,y nada,Jerga,nada mas que decir,Ya no tengo mas que decir,https://jergozo.com/diccionario-peruano
1915,y... nada.,Jerga,nada mas que decir,Ya no tengo mas que decir,https://jergozo.com/diccionario-peruano
1916,ya,Jerga,ok,"Expresión, peruana equivalente al vale en España.",https://jergozo.com/diccionario-peruano
1917,ya fuiste,Jerga,perdiste,«Ya perdiste».,https://jergozo.com/diccionario-peruano
1918,ya me jalo,Jerga,Me retiro,Me retiro,https://jergozo.com/diccionario-peruano
1919,ya pe,Jerga,Ya pues,Ya pues,https://jergozo.com/diccionario-peruano
1920,yapadura,Jerga,aumento,Cantidad que se agrega a algo. Del peruano yapa.,https://jergozo.com/diccionario-peruano
1921,yapar,Jerga,aumentar,"Agregar una porción extra. Básicamente, añadir o poner yapa. Del peruano yapa.",https://jergozo.com/diccionario-peruano
1922,yapera,Jerga,que aumenta,Dícese del que da la yapa. Voz en desuso.,https://jergozo.com/diccionario-peruano
1923,yapero,Jerga,que aumenta,Dícese del que da la yapa. Voz en desuso.,https://jergozo.com/diccionario-peruano
1924,yapista,Jerga,que aumenta,Dícese del que da la yapa. Voz en desuso.,https://jergozo.com/diccionario-peruano
1925,yapla,Jerga,Playa,Playa,https://jergozo.com/diccionario-peruano
1926,yara,Jerga,atención,"Interjección, señal de aviso para advertir la proximidad de un peligro. 'Pasar el yara' significa avisar, poner al tanto, informar.",https://jergozo.com/diccionario-peruano
1927,yaya,Jerga,herida,herida,https://jergozo.com/diccionario-peruano
1928,yegua,Jerga,mujer grande,"Mujer de gran tamaño y generalmente de buena figura: ""Qué tal yegua"", ""Esa tipa es una yegua"".",https://jergozo.com/diccionario-peruano
1929,yo mismo soy,expresión,yo puedo,"Yo puedo , soy el mejor para eso",https://jergozo.com/diccionario-peruano
1930,yolanda,Jerga,Yo,Yo,https://jergozo.com/diccionario-peruano
1931,yoni pacheco,Jerga,Yo,Yo,https://jergozo.com/diccionario-peruano
1932,yunga,Jerga,lengua peruana,Antigua lengua del norte y centro de la costa peruana. Zona entre 500 y 2.300 metros de altitud.,https://jergozo.com/diccionario-peruano
1933,yungay,Jerga,vigilante,"Vigilante , guachiman",https://jergozo.com/diccionario-peruano
1934,yunta,Jerga,amigo,Palabra empleada para referirse a una amigo.,https://jergozo.com/diccionario-peruano
1935,yuyo,Jerga,Alga.,Alga.,https://jergozo.com/diccionario-peruano
1936,zafar,Jerga,irse,"Irse , retirarse de algun lugar",https://jergozo.com/diccionario-peruano
1937,zafio,Jerga,Desalmado,Desalmado,https://jergozo.com/diccionario-peruano
1938,zambito,Jerga,Persona morena,Se usa para referirse casualmente a otra persona en tono coloquial. A pesar de lo que zambo significa esta voz no tiene relación con el color de la piel del interlocutor.,https://jergozo.com/diccionario-peruano
1939,zambo,Jerga,Persona morena,Persona morena.,https://jergozo.com/diccionario-peruano
1940,zamborja,Jerga,Persona morena,"Zambo /a , mestizo de negro-amerindia o amerindio-negra",https://jergozo.com/diccionario-peruano
1941,zampado,Jerga,que usurpa un lugar,"Tiene un significado parecido que en honduras pero la diferencia que se usa para nombrar a un persona que llega a una fiesta sin que lo inviten, y también se usa con mucha frecuencia para nombrar a una persona que se encuentra ebria",https://jergozo.com/diccionario-peruano
1942,zampao,Jerga,ebrio,"Pasado de copas, ebrio",https://jergozo.com/diccionario-peruano
1943,zamparse,Jerga,comer,"1. Comer, tragar, engullir",https://jergozo.com/diccionario-peruano
1944,zampón,Jerga,intruso,"Intruso, asisente no invitado",https://jergozo.com/diccionario-peruano
1945,zángano,Jerga,haragán,"Ocioso , haragán, perezoso",https://jergozo.com/diccionario-peruano
1946,zapallo,Jerga,nalgas,El trasero de una mujjer,https://jergozo.com/diccionario-peruano
1947,zapatear,Jerga,protestar,"Reclamar , protestar",https://jergozo.com/diccionario-peruano
1948,zapatilla,Jerga,sin habilidad,"Poco hábil, insulso",https://jergozo.com/diccionario-peruano
1949,zapatón,Jerga,de pene grande,Se le dice al hombre que tiene el miembro viril grande.,https://jergozo.com/diccionario-peruano
1950,zarrapastroso,Jerga,indeseable,indeseable,https://jergozo.com/diccionario-peruano
1951,zopenco,Jerga,tonto,tonto,https://jergozo.com/diccionario-peruano
1952,zorocho,Jerga,El fruto inmaduro,"El fruto inmaduro, verde.",https://jergozo.com/diccionario-peruano
1953,zorra,Jerga,vagina,vagina,https://jergozo.com/diccionario-peruano
1954,Blanca,Jerga,cocaína, cocaína. Literalmente “blanco”.,https://www.jerga.net/jerga-peruana/
1955,Conera,Jerga,que vive lejos de la ciudad," El significado para la palabra conera se refiere a las personas que habitan retiradas del centro de la ciudad, en la cual viven de forma amotinada y en algunos casos incluso invaden las propiedades.",https://www.jerga.net/jerga-peruana/
1956,Chévere,Jerga,genial," genial, genial, impresionante (como bacán)",https://www.jerga.net/jerga-peruana/
1957,Miércoles,Jerga,mierda," literalmente “miércoles”, pero se usa en lugar de “mierda” (mierda).",https://www.jerga.net/jerga-peruana/
1958,Pajear,Jerga,masturbarse," masturbarse ( por lo tanto, un pajero sería un … ya sabes).",https://www.jerga.net/jerga-peruana/
1959,Profe,Jerga,profesor," abreviatura de “profesor”, que a menudo utilizan los vendedores ambulantes peruanos, los limpiabotas, etc. para llamar la atención de personas bien vestidas y con aspecto de negocios que caminan por la calle. Es amigable y no irrespetuoso.",https://www.jerga.net/jerga-peruana/
1960,aguja,Jerga,sin dinero,sin dinero,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1961,alacrán,Jerga,mal olor,Sudor o mal olor que proveniene de la axila o sobaco./ Tiene unos alacranes bravos.,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1962,apurímac,Jerga,apurate,"Apurado, estar con prisa. Es el nombre de un departamento de Perú./ Rápido que estoy apurímac.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1963,bomba,Jerga,borrachera,"Estar en una bomba. Gran borrachera, estar muy borracho./ Nos metimos una bomba en la casa de Juan, que pa'qué te cuento.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1964,botar,Jerga,echar,"Tirar, echar./ Bota la basura ahora.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1965,cache,Jerga,pareja sentimental,Persona con la que se tiene o se ha tenido relaciones sexuales./ Cuando pasa con su cache no saluda a nadie.,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1966,calato,Jerga,desnudo,"Desnudo. Que está sin ropa, Estar misio (ver misio), Hijo./Mary acaba de tener un calato.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1967,canadá,Jerga,cárcel,Cárcel. «Estar en canadá».,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1968,causa,Jerga,amigo,"Amigo cercano o de confianza./ Lucho, te presento a mi causa.// Comida típica de Perú.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1969,chamba,Jerga,trabajo,"Trabajo, trabajar./ Nos vemos, me voy a chambear./ Ese flaco es full chamba(trabaja bastante).",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1970,relojear,Jerga,hablar mucho,Hablar mucho sin decir nada. Ver «florear o webear».,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1971,chilear,Jerga,ocio,Pasar el tiempo haciendo nada.,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1972,chilindrinas,Jerga,cervezas,"Cervezas, chelas./ Dos chilindrinas más, por favor.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1973,chivay,Jerga,homosexual,Maricón./ Henry Paz es un chivay.,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1974,chuki,Jerga,niño mal criado,"niño malcriado./ Hey, tu hijo esta chuki.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1975,cutra,Jerga,dinero ilícito,Dinero obtenido de forma ilícita.,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1976,dark,Jerga,drogado,v. Malogrado. Horrendo,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1977,empujar,Jerga,comer,Comer. Meterse comida./ ¿Y qué te empujaste hoy? Un estofado de pollo.,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1978,fresh,Jerga,tranquilo,"Adjetivo ultizado para referir un buen estado. ""La pase fresh con mis patas"".",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1979,huaman,Jerga,tonto,"Huevon, o una expresión para referirse a algo tonto/ Yo no voy a hacer eso, 'Ta huaman",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1980,jatear,Jerga,dormir,Dormir./ Voy a jatear un par de horas y luego quedamos.,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1981,limonta,Jerga,ciudad de Lima,"Lima, ciudad capital de Perú.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1982,manyar,Jerga,entender,"Entender; conocer./ No es tan difícil, ¿manyas?; Manyas a alguien en tu clase?",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1983,mechadera,Jerga,trifulca,"Trifulca, bronca, pelea./ Luis está furioso con Pablo por lo de Ana. Cuando se vean, se va a armar la mechadera.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1984,mostrito,Jerga,comida popular,Fusión peruana de Arroz Chaufa con Pollo a la Brasa. / Anoche me tiré un mostrito buenaso,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1985,on,Jerga,tonto,"Acortamiento de «Huevón»./ Claro que era Susana 'on', yo la vi.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1986,pachamanquearse,Jerga,manosear a alguien,estar muy pegado a alguien,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1987,pantene,Jerga,gordo,¡Eres pantene! (Tienes más panza que pene).,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1988,papaya,Jerga,fácil,"Muy fácil./ El final fue papayita./ Eufemismo de ""Vagina""./¿qué tal, Le viste la papaya?",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1989,pe',Jerga,pues,"Acortamiento de «pues»./ Ya pe', ahí somos.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1990,pendéivis,Jerga,astuto,Eufemismo de «pendejo»./ Ya se le veía medio pendéivis al chico.,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1991,pepas,Jerga,pastillas,"Pastillas, generalmente de fármacos, sedantes, tranquilizantes o barbitúricos.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1992,Peperas,Jerga,prostitutas,"Generalmente, prostitutas que pepean.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1993,picón,Jerga,que no le gusta perder,"Que no le gusta perder./ Eres un picón, nunca te das por vencido.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1994,polaco,Jerga,tener sexo,Variante de la jerga 'polvo'.,https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1995,poto,Jerga,nalgas,"Eufemismo de culo. Otros nombres: trasero, pompis, derrier, tarro, nalgas, culantro.",https://www.wikilengua.org/index.php/Jerga_juvenil/Per%C3%BA
1996,pulser,Jerga,tratar de conquistar a alguien,tratar de conquistar a alguien,
